hours_studied,attendance,previous_gpa,tutoring_sessions,sleep_hours,stress_level,screen_time,exam_anxiety,gender,age,part_time_job,study_method,diet_quality,internet_quality,extracurricular,family_income,final_grade,final_gpa,risk_status
6.81,66.24,3.94,3,6.76,10,1.43,8,female,17,yes,hybrid,average,poor,yes,low,D,2.2,At Risk
10.81,48.21,2.13,3,7.91,5,8.24,2,male,29,no,online,good,good,yes,low,B,3.14,Not At Risk
7.2,75.52,3.5,4,5.0,3,4.28,7,male,19,no,online,good,excellent,no,high,B,3.41,Not At Risk
9.48,44.82,4.0,3,6.71,2,10.07,3,female,28,no,hybrid,average,good,yes,low,A,3.87,Not At Risk
7.13,76.71,3.01,2,8.68,2,2.5,10,female,29,yes,hybrid,good,average,yes,high,B,3.3,Not At Risk
9.45,92.18,3.44,7,6.62,4,4.87,2,female,20,yes,online,poor,poor,no,high,A,3.92,Not At Risk
5.51,93.2,1.89,7,5.54,2,3.43,9,female,25,yes,offline,average,excellent,no,low,B,3.09,Not At Risk
7.18,52.54,2.74,4,4.66,1,2.98,7,male,19,no,hybrid,poor,average,no,low,B,3.3,Not At Risk
10.67,61.84,2.71,6,6.98,9,3.78,10,male,21,no,hybrid,good,good,no,middle,C,2.69,Not At Risk
1.66,69.16,2.69,3,4.81,5,0.53,9,male,19,no,hybrid,good,poor,yes,high,D,2.34,At Risk
7.22,48.29,3.62,3,5.88,6,10.59,5,male,19,no,hybrid,poor,excellent,yes,low,C,2.62,Not At Risk
2.05,91.3,3.38,2,5.76,10,1.43,2,female,29,yes,offline,average,excellent,no,middle,D,2.09,At Risk
3.76,56.45,2.8,2,6.65,0,11.36,8,male,25,yes,hybrid,poor,average,no,middle,C,2.51,Not At Risk
4.27,55.2,3.91,6,4.81,8,11.74,4,female,27,yes,online,poor,good,no,low,D,2.08,At Risk
4.65,87.75,2.81,6,5.98,5,2.22,9,male,20,no,offline,average,average,yes,high,C,2.86,Not At Risk
8.14,79.42,2.44,3,9.77,6,1.1,0,female,18,no,hybrid,good,average,yes,low,A,3.71,Not At Risk
9.24,94.63,1.15,4,7.15,1,4.16,4,male,25,no,online,good,average,no,high,A,3.7,Not At Risk
3.83,60.76,3.54,2,6.31,9,8.41,1,male,26,yes,online,average,excellent,yes,low,D,2.3,At Risk
9.66,82.22,2.68,5,5.5,10,9.28,2,male,23,yes,online,average,average,no,high,B,3.17,Not At Risk
2.25,52.32,1.32,1,8.34,10,2.85,8,female,19,yes,hybrid,average,poor,yes,low,F,0.31,At Risk
1.24,95.85,1.87,4,9.11,10,10.09,0,male,20,yes,hybrid,average,excellent,yes,middle,D,2.12,At Risk
4.61,41.75,3.01,3,4.21,8,11.0,7,female,25,yes,online,average,good,no,high,F,0.38,At Risk
7.75,59.04,3.64,4,5.91,4,9.99,2,female,16,yes,hybrid,average,excellent,no,low,A,3.8,Not At Risk
7.9,79.33,2.86,0,9.35,10,6.8,8,male,25,yes,online,average,average,no,high,D,2.3,At Risk
5.07,75.74,3.27,2,4.77,6,5.28,1,female,27,yes,offline,average,poor,no,high,B,3.02,Not At Risk
10.84,70.86,2.97,6,7.51,4,7.76,9,female,18,no,offline,poor,average,yes,middle,A,3.63,Not At Risk
6.71,47.57,2.32,2,9.21,7,3.06,8,female,18,no,hybrid,poor,good,no,high,D,2.43,At Risk
9.5,67.08,2.46,7,5.2,10,0.78,10,male,25,no,online,average,average,yes,low,C,2.76,Not At Risk
6.81,49.02,3.04,1,9.38,10,10.03,3,female,19,no,offline,poor,excellent,yes,middle,D,2.21,At Risk
2.49,69.85,3.97,4,8.27,2,0.36,7,female,25,yes,online,average,average,no,low,B,3.1,Not At Risk
8.83,59.22,1.11,1,9.21,5,9.83,2,female,21,no,online,poor,excellent,no,middle,C,2.77,Not At Risk
4.52,83.59,3.06,6,5.84,10,2.76,3,male,28,yes,hybrid,average,average,no,low,C,2.86,Not At Risk
9.01,82.6,1.07,1,9.47,0,11.97,7,female,27,no,online,good,good,yes,high,B,3.22,Not At Risk
8.81,52.36,1.29,6,8.24,3,10.8,8,female,27,no,hybrid,good,average,no,middle,C,2.92,Not At Risk
1.41,41.85,3.66,3,4.82,3,0.92,10,female,29,no,hybrid,good,average,no,high,D,2.22,At Risk
10.06,46.85,2.98,6,6.51,4,0.46,4,female,16,yes,hybrid,good,good,yes,low,A,3.52,Not At Risk
2.88,73.65,2.77,6,9.86,7,11.74,7,female,16,no,hybrid,average,excellent,yes,middle,D,2.4,At Risk
1.51,68.4,3.43,6,8.03,4,0.8,3,male,17,yes,offline,average,good,no,high,B,3.05,Not At Risk
0.1,69.58,1.84,3,4.44,7,5.67,8,male,29,no,offline,poor,average,yes,middle,F,1.88,At Risk
6.77,61.53,2.19,5,4.6,5,2.28,9,male,23,no,online,poor,excellent,yes,middle,C,2.77,Not At Risk
1.03,77.56,2.99,0,4.32,9,7.96,0,female,28,yes,offline,average,excellent,yes,high,F,1.47,At Risk
1.66,49.99,2.9,2,9.13,8,7.71,2,male,21,no,offline,good,average,yes,middle,F,1.44,At Risk
0.86,90.93,2.26,7,9.65,1,4.05,7,female,16,yes,offline,poor,poor,yes,high,B,3.26,Not At Risk
8.0,40.11,3.81,7,6.38,0,7.08,7,female,17,no,hybrid,good,average,no,low,A,3.93,Not At Risk
11.53,66.96,3.52,6,8.78,2,11.92,2,female,19,yes,hybrid,poor,good,no,low,A,3.75,Not At Risk
5.9,43.09,2.48,4,7.37,5,1.65,4,male,28,yes,offline,good,good,no,high,B,3.42,Not At Risk
6.6,83.57,2.22,4,7.45,10,10.71,2,male,27,no,offline,poor,excellent,no,middle,D,2.01,At Risk
8.57,44.68,1.19,2,6.23,7,4.16,5,female,25,yes,hybrid,poor,excellent,yes,middle,D,2.2,At Risk
8.61,77.28,1.11,1,9.61,3,5.65,6,male,28,no,offline,good,average,yes,high,B,3.04,Not At Risk
2.16,66.89,1.91,7,7.66,0,0.48,7,male,27,yes,hybrid,poor,poor,no,high,B,3.47,Not At Risk
10.96,65.22,2.62,0,6.23,7,10.31,2,female,22,yes,online,poor,good,yes,low,B,3.11,Not At Risk
6.27,72.83,2.32,0,8.14,8,6.44,7,female,17,no,offline,poor,excellent,yes,low,F,0.46,At Risk
3.6,74.32,3.4,0,5.14,9,1.91,9,male,26,yes,online,poor,average,no,middle,F,0.44,At Risk
6.81,45.44,1.03,3,8.76,0,9.04,0,male,18,yes,offline,good,excellent,no,low,A,3.57,Not At Risk
1.17,73.06,3.95,2,9.59,1,5.14,5,female,19,no,online,poor,average,yes,high,B,3.05,Not At Risk
2.01,60.69,1.73,1,8.54,9,3.36,6,female,23,no,offline,average,poor,yes,high,F,0.15,At Risk
2.01,97.68,3.47,5,5.89,9,3.95,1,female,19,no,online,average,average,no,low,C,2.67,Not At Risk
3.37,96.48,3.35,3,4.56,9,5.63,9,male,27,no,online,poor,good,yes,middle,F,1.95,At Risk
0.54,83.69,2.84,1,5.17,6,3.04,10,female,20,no,hybrid,average,average,no,high,F,0.31,At Risk
2.87,48.83,3.35,6,8.34,4,8.71,7,male,24,yes,offline,average,excellent,yes,low,C,2.74,Not At Risk
8.73,54.17,2.89,6,6.27,3,4.75,0,female,23,yes,offline,average,poor,yes,low,A,3.74,Not At Risk
7.72,41.76,1.42,5,9.5,3,4.93,5,female,18,no,hybrid,average,excellent,yes,middle,B,3.16,Not At Risk
10.31,74.23,3.79,0,4.74,0,8.66,8,female,16,yes,hybrid,average,poor,yes,middle,A,3.91,Not At Risk
9.55,80.82,2.0,4,8.69,5,7.73,6,female,23,yes,hybrid,good,good,no,middle,B,3.44,Not At Risk
11.08,79.57,2.12,5,5.28,6,6.77,6,male,25,no,offline,average,excellent,no,middle,B,3.46,Not At Risk
4.64,46.16,2.37,0,9.83,1,11.51,4,male,27,no,offline,good,poor,no,low,C,2.74,Not At Risk
8.14,79.39,2.0,1,6.85,6,0.67,9,male,21,yes,online,good,poor,yes,low,C,2.98,Not At Risk
0.76,49.04,2.49,6,8.15,3,8.75,5,female,25,no,offline,poor,excellent,yes,low,D,2.36,At Risk
1.16,62.56,3.57,5,6.56,5,6.67,10,male,28,no,hybrid,poor,poor,no,middle,F,0.44,At Risk
1.95,70.83,2.73,6,4.2,7,10.74,1,male,27,yes,hybrid,poor,good,no,low,D,2.14,At Risk
1.7,66.9,1.27,0,4.18,6,2.78,6,female,29,yes,online,good,poor,yes,middle,F,1.58,At Risk
4.71,90.19,3.32,1,6.83,6,9.96,3,male,16,no,hybrid,good,excellent,no,high,C,2.95,Not At Risk
9.47,86.19,1.97,5,5.8,2,6.39,5,male,28,yes,online,good,good,yes,high,A,3.74,Not At Risk
3.86,99.76,3.36,7,7.22,0,3.25,9,male,17,no,online,good,excellent,no,low,A,3.61,Not At Risk
7.56,77.09,1.44,3,4.01,10,10.45,9,female,23,no,offline,good,good,no,high,F,1.29,At Risk
9.66,84.96,3.92,5,6.31,5,0.46,4,female,21,no,online,poor,good,yes,high,A,3.62,Not At Risk
0.87,98.39,1.84,6,5.74,3,3.07,6,female,27,no,hybrid,average,average,no,middle,C,2.99,Not At Risk
8.96,66.76,3.4,6,7.55,8,1.68,8,male,19,yes,online,poor,poor,no,high,B,3.32,Not At Risk
11.61,72.6,3.89,7,6.41,8,4.86,4,female,25,no,hybrid,good,poor,yes,middle,A,3.84,Not At Risk
1.09,67.87,2.34,7,4.06,9,4.02,0,female,19,yes,online,good,poor,yes,high,D,2.17,At Risk
1.09,86.98,3.54,1,4.26,3,8.15,0,female,23,yes,hybrid,poor,excellent,no,middle,C,2.5,Not At Risk
7.44,64.51,3.81,1,7.53,5,4.66,4,male,21,no,online,good,poor,no,low,B,3.42,Not At Risk
1.7,61.69,3.76,2,7.04,0,8.01,8,female,28,no,offline,good,good,yes,middle,C,2.89,Not At Risk
9.23,66.87,3.64,4,6.67,4,5.96,7,female,25,yes,offline,average,good,yes,low,A,3.53,Not At Risk
4.43,54.27,3.43,4,8.09,4,8.59,5,female,20,no,offline,average,poor,no,low,C,2.76,Not At Risk
7.5,68.53,1.28,5,8.73,9,6.59,2,male,17,yes,online,poor,poor,yes,high,C,2.96,Not At Risk
7.34,55.75,1.45,2,5.22,6,3.23,6,female,20,no,online,good,average,no,high,D,2.48,At Risk
7.55,47.53,2.63,1,5.87,8,5.95,5,female,19,no,hybrid,average,poor,no,low,D,2.4,At Risk
11.35,48.58,3.0,1,6.93,8,8.23,9,female,28,yes,offline,poor,excellent,no,middle,D,2.4,At Risk
6.46,72.33,1.34,2,9.96,2,3.82,10,female,27,no,hybrid,average,excellent,yes,middle,C,2.97,Not At Risk
6.73,75.72,2.35,0,6.28,4,5.28,1,male,28,yes,hybrid,good,average,yes,high,B,3.22,Not At Risk
1.95,40.03,3.05,6,7.15,3,2.32,6,female,28,yes,offline,average,average,no,high,C,2.98,Not At Risk
10.94,83.52,3.82,5,7.73,10,0.73,5,male,24,no,hybrid,average,good,no,high,A,3.62,Not At Risk
4.59,87.64,2.53,1,9.65,0,7.41,10,female,24,no,hybrid,good,average,no,low,C,2.97,Not At Risk
6.36,81.37,3.93,1,5.88,7,4.0,9,female,22,no,online,poor,good,no,high,C,2.97,Not At Risk
9.82,75.9,2.24,0,7.51,9,2.9,8,male,21,no,online,poor,good,yes,high,D,2.47,At Risk
3.17,55.54,2.68,2,8.35,3,11.68,5,male,18,no,offline,average,good,no,high,D,2.12,At Risk
0.94,58.02,1.91,1,6.91,8,7.1,1,male,28,no,hybrid,average,average,yes,middle,F,0.4,At Risk
5.98,67.98,3.17,0,5.5,10,6.46,8,female,25,no,hybrid,poor,good,no,high,F,1.3,At Risk
10.48,86.18,2.44,2,8.54,0,10.65,10,male,29,yes,online,average,poor,no,middle,A,3.76,Not At Risk
2.59,58.69,3.93,4,7.4,4,8.71,10,male,28,yes,online,good,excellent,yes,low,D,2.08,At Risk
5.84,70.6,3.88,4,5.36,6,8.57,5,male,22,no,online,average,poor,yes,high,C,2.69,Not At Risk
4.03,71.61,1.79,0,8.55,8,9.71,2,male,21,no,hybrid,average,poor,yes,high,F,0.83,At Risk
11.51,48.32,1.79,4,9.46,9,8.54,7,female,23,no,hybrid,poor,excellent,yes,high,C,2.8,Not At Risk
11.19,74.0,2.95,4,4.04,2,6.71,8,female,20,no,online,average,excellent,no,middle,A,3.77,Not At Risk
6.05,71.26,3.9,2,6.31,8,4.95,7,male,29,no,online,good,poor,no,middle,D,2.43,At Risk
6.52,43.57,3.83,2,8.44,5,9.65,6,female,23,no,online,poor,good,yes,low,C,2.69,Not At Risk
7.92,52.11,1.18,6,9.11,2,7.15,7,male,29,no,offline,good,poor,no,high,B,3.27,Not At Risk
4.1,43.76,2.13,0,9.81,0,5.27,3,female,22,yes,hybrid,good,poor,no,high,B,3.31,Not At Risk
11.66,54.32,2.29,7,6.35,9,0.29,6,female,24,no,online,poor,excellent,no,middle,B,3.22,Not At Risk
2.06,72.97,2.65,3,6.28,5,9.25,7,female,20,yes,offline,average,good,no,low,F,0.02,At Risk
10.05,74.14,2.86,0,8.44,10,5.18,8,male,26,yes,hybrid,average,average,yes,low,D,2.39,At Risk
2.76,96.6,3.06,4,8.91,0,10.51,3,female,18,yes,hybrid,poor,poor,no,low,A,3.81,Not At Risk
5.28,83.75,1.17,3,7.32,3,0.27,2,female,19,yes,hybrid,poor,poor,yes,middle,B,3.36,Not At Risk
10.52,70.3,3.58,2,8.72,8,5.19,0,male,20,yes,offline,good,average,yes,low,A,3.73,Not At Risk
5.74,87.01,1.74,5,6.87,2,5.93,6,male,25,yes,online,average,poor,no,high,B,3.17,Not At Risk
1.94,49.16,2.38,2,6.27,3,3.5,10,male,21,no,offline,good,excellent,yes,high,F,0.73,At Risk
5.93,79.68,2.3,5,5.67,5,10.06,7,male,20,yes,offline,average,excellent,yes,middle,C,2.67,Not At Risk
9.91,43.87,3.2,1,4.9,0,6.02,0,male,17,yes,hybrid,average,good,no,high,A,3.56,Not At Risk
10.39,51.67,2.85,0,7.19,10,0.45,9,male,19,yes,online,good,average,yes,high,D,2.02,At Risk
4.61,44.61,3.39,3,9.8,7,11.26,0,female,26,no,offline,good,excellent,yes,middle,C,2.52,Not At Risk
7.72,53.39,1.95,0,6.87,10,8.91,7,female,20,no,online,poor,good,no,high,F,1.78,At Risk
1.59,65.24,3.77,2,4.47,9,2.57,3,male,26,no,hybrid,poor,poor,yes,low,D,2.03,At Risk
1.61,45.05,2.57,6,6.46,2,6.59,8,female,23,yes,offline,average,poor,yes,middle,D,2.3,At Risk
11.94,49.36,1.56,5,7.87,2,9.54,4,male,18,no,hybrid,average,excellent,yes,high,A,3.65,Not At Risk
9.9,76.64,3.48,5,6.77,4,10.11,4,male,27,yes,online,good,average,yes,high,A,3.94,Not At Risk
10.53,51.67,1.91,6,6.11,5,2.56,0,female,21,yes,offline,poor,average,no,middle,A,3.7,Not At Risk
3.83,46.17,2.25,6,5.42,0,8.28,1,female,20,yes,online,good,average,no,middle,B,3.31,Not At Risk
11.82,68.14,1.35,1,7.04,5,9.44,5,female,24,yes,online,average,average,yes,low,B,3.27,Not At Risk
3.71,50.77,2.1,4,6.59,3,6.47,10,male,21,no,hybrid,poor,average,yes,middle,D,2.38,At Risk
2.56,95.66,3.68,0,8.94,1,3.31,0,female,27,no,offline,poor,average,yes,high,A,3.58,Not At Risk
10.75,57.93,2.83,7,6.4,4,9.91,2,female,26,no,online,poor,good,no,low,A,3.95,Not At Risk
6.56,51.01,2.76,1,7.96,8,11.74,0,male,26,no,offline,poor,good,yes,low,D,2.47,At Risk
5.96,63.92,1.19,6,6.82,7,6.32,8,male,23,no,online,poor,good,yes,high,D,2.1,At Risk
4.52,73.48,3.24,1,5.26,6,8.4,6,male,18,yes,online,average,good,no,middle,D,2.11,At Risk
6.97,80.42,3.84,4,9.28,3,4.61,6,female,16,no,offline,poor,poor,yes,high,A,3.97,Not At Risk
2.9,70.32,2.83,5,8.77,4,9.53,9,male,23,no,hybrid,poor,excellent,yes,middle,D,2.35,At Risk
0.11,64.85,2.54,0,8.54,8,2.27,0,male,20,yes,offline,average,average,no,low,F,1.86,At Risk
3.94,72.72,2.06,0,7.09,7,7.6,10,male,22,yes,online,poor,good,no,low,F,1.06,At Risk
9.55,85.88,2.21,5,4.35,2,10.21,9,male,18,yes,hybrid,average,average,yes,high,B,3.15,Not At Risk
10.03,43.59,1.74,1,8.55,5,2.26,9,female,16,no,online,average,good,no,middle,C,2.66,Not At Risk
3.54,93.53,2.69,4,5.29,2,0.11,3,male,20,no,hybrid,average,average,yes,low,A,3.9,Not At Risk
10.31,99.77,2.23,2,5.41,3,0.22,7,female,18,no,offline,good,average,no,low,A,3.76,Not At Risk
2.05,74.56,2.51,6,4.15,8,5.19,9,male,17,no,offline,poor,average,yes,middle,F,1.08,At Risk
7.85,56.4,2.7,2,6.72,4,10.44,0,male,21,yes,hybrid,average,average,yes,high,B,3.08,Not At Risk
1.02,60.78,3.62,3,5.49,5,9.63,8,male,29,yes,hybrid,good,excellent,yes,low,F,1.34,At Risk
7.85,48.41,1.37,7,9.89,10,1.89,3,male,16,no,offline,poor,excellent,no,low,C,2.76,Not At Risk
5.53,63.06,2.5,7,9.52,5,0.03,1,female,20,yes,hybrid,poor,excellent,yes,high,A,3.69,Not At Risk
11.15,47.07,1.58,4,4.47,4,3.92,1,female,19,yes,online,average,good,yes,low,A,3.67,Not At Risk
8.4,99.9,1.77,2,8.29,9,0.58,9,male,22,yes,hybrid,poor,poor,yes,middle,C,2.99,Not At Risk
4.74,92.15,1.66,7,6.46,2,3.18,2,female,27,yes,offline,poor,average,yes,high,A,3.69,Not At Risk
11.21,90.0,3.54,1,6.7,7,8.67,9,female,21,no,hybrid,good,good,no,high,B,3.18,Not At Risk
9.42,65.47,3.91,7,4.79,6,6.53,0,female,24,yes,offline,poor,average,no,low,A,3.63,Not At Risk
1.45,63.62,1.27,5,9.69,4,8.31,7,female,28,no,offline,average,poor,no,low,F,0.62,At Risk
6.44,81.61,3.6,7,7.55,3,11.63,3,female,17,yes,online,poor,average,yes,high,A,3.52,Not At Risk
9.34,59.35,3.29,1,4.67,3,1.54,8,female,27,no,hybrid,good,average,yes,middle,B,3.05,Not At Risk
2.08,64.68,3.21,0,6.01,3,0.93,4,male,25,yes,hybrid,average,excellent,yes,high,C,2.62,Not At Risk
6.06,56.83,1.14,7,9.05,5,10.23,10,female,23,yes,online,good,good,yes,high,D,2.45,At Risk
11.6,96.73,2.85,5,9.19,5,1.13,1,male,16,no,offline,poor,good,no,low,A,3.71,Not At Risk
11.2,74.56,2.09,6,7.89,6,5.89,10,female,21,no,offline,average,average,no,middle,B,3.05,Not At Risk
3.37,54.26,1.17,7,6.46,4,7.15,3,male,23,yes,hybrid,poor,good,no,low,C,2.65,Not At Risk
4.26,92.89,3.9,2,4.86,5,4.94,1,female,23,yes,hybrid,average,poor,yes,middle,B,3.04,Not At Risk
9.91,82.16,2.94,0,4.92,6,7.4,5,female,23,yes,online,average,average,no,low,B,3.31,Not At Risk
11.62,42.37,1.82,2,6.92,4,11.17,5,female,22,no,online,good,excellent,yes,middle,B,3.01,Not At Risk
6.34,93.04,2.03,6,5.77,1,7.66,10,male,28,yes,hybrid,average,average,no,high,B,3.47,Not At Risk
5.68,74.62,2.07,7,8.22,4,8.36,0,male,19,no,online,average,average,yes,middle,A,3.9,Not At Risk
9.07,96.89,2.44,1,5.5,1,7.24,10,female,27,yes,hybrid,poor,excellent,no,middle,B,3.42,Not At Risk
10.27,40.19,3.23,1,9.17,2,0.82,2,male,21,yes,offline,good,excellent,no,high,A,3.81,Not At Risk
7.04,84.77,3.48,7,5.74,6,7.33,8,male,20,no,offline,good,average,yes,high,B,3.37,Not At Risk
1.8,41.08,2.21,3,6.05,9,10.74,10,male,24,yes,hybrid,average,average,no,high,F,0.39,At Risk
9.63,64.76,1.07,6,7.33,0,11.97,10,male,28,yes,offline,good,average,yes,high,B,3.43,Not At Risk
3.24,79.53,3.8,5,9.88,2,8.27,10,male,21,yes,hybrid,good,excellent,no,middle,B,3.24,Not At Risk
3.73,57.86,1.35,0,7.56,3,8.17,9,female,27,no,offline,poor,poor,yes,low,F,0.42,At Risk
7.94,63.38,3.37,4,4.28,9,1.75,4,male,16,no,online,poor,good,yes,middle,C,2.84,Not At Risk
3.84,45.91,1.98,3,5.43,5,11.26,6,male,24,yes,online,good,poor,no,middle,F,1.27,At Risk
6.11,70.82,2.14,2,4.08,9,8.15,2,male,19,no,hybrid,poor,good,yes,low,D,2.32,At Risk
7.45,45.8,3.95,1,7.95,2,4.18,4,male,29,no,hybrid,poor,excellent,no,high,A,3.71,Not At Risk
6.51,56.37,1.23,0,6.3,6,9.45,4,female,27,yes,hybrid,poor,good,no,middle,F,0.45,At Risk
0.52,48.09,3.46,2,7.67,3,4.25,6,female,21,no,online,average,average,yes,middle,D,2.22,At Risk
1.14,77.49,2.31,6,4.48,2,0.54,7,male,29,no,offline,poor,good,no,high,C,2.89,Not At Risk
1.29,62.39,2.75,0,8.24,7,0.36,7,male,17,no,offline,poor,average,no,middle,F,0.25,At Risk
2.52,59.35,2.06,4,4.07,0,10.59,0,male,28,yes,hybrid,poor,good,yes,middle,B,3.02,Not At Risk
8.44,85.44,1.41,3,7.4,8,7.68,10,female,20,yes,online,average,good,yes,low,D,2.3,At Risk
7.85,52.85,3.79,0,6.55,2,9.55,7,female,21,yes,offline,poor,average,yes,middle,B,3.35,Not At Risk
7.21,74.36,1.62,2,6.42,2,2.91,9,female,17,yes,hybrid,good,excellent,no,middle,C,2.74,Not At Risk
4.14,61.01,3.85,5,8.6,10,8.32,3,female,23,yes,hybrid,poor,good,no,middle,D,2.07,At Risk
2.19,83.25,1.2,0,5.5,7,1.11,9,female,23,no,online,good,excellent,yes,middle,F,0.94,At Risk
2.94,54.16,2.46,2,4.23,6,6.01,1,female,18,no,online,average,average,yes,low,D,2.17,At Risk
6.03,78.97,2.32,2,9.19,8,1.45,6,female,23,no,online,poor,average,no,low,C,2.91,Not At Risk
9.76,98.11,3.65,5,10.0,6,9.62,7,female,16,no,online,poor,poor,no,middle,A,3.77,Not At Risk
0.23,55.87,2.86,2,6.94,9,0.93,4,female,25,yes,hybrid,poor,poor,no,middle,F,1.91,At Risk
4.01,74.52,1.85,3,5.92,9,6.23,4,male,20,no,hybrid,poor,average,no,low,F,1.66,At Risk
5.53,98.16,3.85,0,7.32,4,8.44,8,male,25,no,offline,good,good,yes,middle,C,2.55,Not At Risk
4.82,60.64,1.39,4,5.24,9,3.57,5,female,16,yes,online,good,good,no,low,F,0.36,At Risk
1.45,64.02,1.72,0,6.31,7,11.89,6,male,28,yes,hybrid,average,good,no,high,F,0.15,At Risk
9.47,59.34,1.9,1,6.67,7,0.06,2,male,25,no,hybrid,good,average,yes,low,B,3.29,Not At Risk
5.55,69.24,1.28,3,4.82,6,1.69,10,female,21,yes,offline,good,excellent,yes,high,F,1.43,At Risk
12.0,40.01,1.6,4,4.99,10,2.73,8,female,22,yes,hybrid,average,poor,yes,middle,D,2.13,At Risk
1.23,64.67,1.76,5,4.95,10,3.15,0,female,22,yes,hybrid,good,excellent,yes,middle,F,1.71,At Risk
11.59,71.54,2.1,7,9.5,3,11.76,5,male,20,yes,offline,average,poor,no,low,A,3.97,Not At Risk
3.63,98.99,3.04,2,8.72,4,5.12,10,female,25,no,offline,average,good,yes,high,C,2.66,Not At Risk
5.46,98.49,1.43,6,9.16,6,8.35,6,female,21,yes,online,average,good,yes,low,C,2.93,Not At Risk
8.15,63.63,2.23,5,7.47,3,10.27,9,female,16,no,online,average,poor,no,middle,C,2.52,Not At Risk
1.31,74.91,2.52,4,6.47,3,0.78,5,male,27,yes,hybrid,good,good,no,high,C,2.52,Not At Risk
2.61,93.95,2.77,2,4.42,6,10.01,9,male,17,no,hybrid,average,excellent,yes,middle,F,0.33,At Risk
0.18,57.19,1.47,4,5.25,8,5.7,4,male,27,yes,offline,average,average,no,low,F,0.76,At Risk
9.16,71.81,1.33,6,5.73,9,1.61,2,male,22,no,hybrid,poor,average,yes,middle,B,3.12,Not At Risk
2.91,40.26,1.96,1,5.74,4,2.3,2,female,29,yes,online,poor,good,yes,middle,D,2.21,At Risk
11.23,87.65,2.29,5,7.26,10,11.98,6,female,22,yes,online,good,average,no,low,C,2.7,Not At Risk
8.88,82.68,1.14,0,4.51,6,9.86,8,female,27,no,offline,average,good,no,high,D,2.05,At Risk
0.31,85.7,3.2,7,5.55,4,3.94,0,male,17,no,online,poor,poor,yes,low,B,3.16,Not At Risk
4.17,77.61,3.86,7,7.49,1,11.03,1,male,26,yes,offline,good,poor,no,low,A,3.52,Not At Risk
8.9,80.83,2.07,7,9.54,4,3.41,8,male,25,no,hybrid,average,poor,no,middle,A,3.58,Not At Risk
5.26,98.65,1.86,5,9.98,3,3.56,2,male,27,no,offline,poor,average,yes,middle,A,3.86,Not At Risk
6.43,52.99,2.18,4,5.41,2,0.85,9,female,19,no,online,good,poor,no,low,B,3.45,Not At Risk
7.5,65.7,1.35,0,7.96,9,3.82,1,male,27,yes,hybrid,good,good,no,high,D,2.12,At Risk
2.2,56.96,1.64,1,4.6,10,11.03,3,male,18,no,offline,average,poor,yes,middle,F,1.2,At Risk
9.54,85.69,3.05,2,5.39,4,1.89,3,female,29,yes,offline,poor,good,no,high,A,3.79,Not At Risk
3.3,62.38,1.83,3,8.92,7,1.29,7,male,29,no,online,poor,excellent,no,low,D,2.48,At Risk
1.11,81.6,2.78,7,9.73,1,6.19,4,female,18,yes,offline,poor,average,no,high,B,3.04,Not At Risk
